Município,Regional,Tipo,Área de atuação,2020,2021,2022,2023,2024,2025
Boituva,Sorocaba,RRT Inicial,Meio Ambiente,4,1,5,1,3,3
Boituva,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,1,1,2,0
Boituva,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,47,39,46,28,46,36
Boituva,Sorocaba,RRT Inicial,Arquitetura das Edificações,683,709,635,591,759,779
Capela do Alto,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,9,5,8,3,4,1
Capela do Alto,Sorocaba,RRT Inicial,Arquitetura das Edificações,37,63,49,64,61,51
Capela do Alto,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,0,0,0,1,0,0
Capela do Alto,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,0,1,0,1,0
Capela do Alto,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,2,0,0
Cerquilho,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,0,2,0,0
Cerquilho,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,1,1,1,0,0,0
Cerquilho,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,29,37,27,15,17,14
Cerquilho,Sorocaba,RRT Inicial,Arquitetura das Edificações,328,369,296,233,249,217
Cerquilho,Sorocaba,RRT Inicial,Conforto Ambiental,2,1,0,0,1,0
Cerquilho,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,9,1,2,0,0,4
Cerquilho,Sorocaba,RRT Inicial,Meio Ambiente,0,0,1,1,0,0
Cesário Lange,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,10,7,10,8,2,7
Cesário Lange,Sorocaba,RRT Inicial,Arquitetura das Edificações,83,110,108,88,76,95
Cesário Lange,Sorocaba,RRT Inicial,Conforto Ambiental,1,0,0,1,2,1
Cesário Lange,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,1,6,3,1,3,4
Ibiúna,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,0,3,1,2,1
Ibiúna,Sorocaba,RRT Inicial,Conforto Ambiental,0,1,0,3,7,4
Ibiúna,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,6,10,12,8,8,15
Ibiúna,Sorocaba,RRT Inicial,Arquitetura das Edificações,195,219,198,175,202,170
Ibiúna,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,1,1,3,1,2
Iperó,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,1,0,1,0
Iperó,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,19,26,40,12,26,24
Iperó,Sorocaba,RRT Inicial,Arquitetura das Edificações,115,130,113,76,94,80
Iperó,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,2,0,0,0,0,0
Iperó,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",4,0,0,0,0,0
Iperó,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,2,1,0,0,0,0
Itapetininga,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,4,7,3,1,5
Itapetininga,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,2,1,0,0,1
Itapetininga,Sorocaba,RRT Inicial,Meio Ambiente,1,1,2,0,0,1
Itapetininga,Sorocaba,RRT Inicial,Conforto Ambiental,3,12,4,1,4,7
Itapetininga,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,40,38,27,25,27,31
Itapetininga,Sorocaba,RRT Inicial,Arquitetura das Edificações,588,686,491,455,465,480
Itu,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",4,6,8,6,6,8
Itu,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,35,17,21,16,15,13
Itu,Sorocaba,RRT Inicial,Meio Ambiente,2,1,2,3,2,4
Itu,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,63,48,70,51,62,54
Itu,Sorocaba,RRT Inicial,Arquitetura das Edificações,1479,1742,1319,1022,1086,1344
Itu,Sorocaba,RRT Inicial,Planejamento Urbano e Regional,2,0,5,3,2,2
Itu,Sorocaba,RRT Inicial,Conforto Ambiental,8,13,17,9,52,28
Jumirim,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,0,0,0,1,0,0
Jumirim,Sorocaba,RRT Inicial,Conforto Ambiental,0,0,0,2,1,0
Jumirim,Sorocaba,RRT Inicial,Urbanismo e Desenho Urbano,2,3,4,0,1,0
Jumirim,Sorocaba,RRT Inicial,Arquitetura das Edificações,24,15,15,26,13,19
Jumirim,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,1,0,1,0,0
Mairinque,Sorocaba,RRT Inicial,"Patrimônio Arquitetônico, Urbanístico e Paisagístico",0,2,0,0,0,0
Mairinque,Sorocaba,RRT Inicial,Instalações e Equipamentos Referentes ao Urbanismo,9,27,10,9,4,5
